publication_year,n_publications,label
2000,1,1
2004,1,1
2005,1,1
2008,1,1
2014,3,3
2015,4,4
2016,1,1
2017,6,6
2018,4,4
2019,4,4
2020,5,5
2021,6,6
2022,3,3
2023,1,1
2024,7,7
2025,8,8
2026,9,9
