document_id,document_name,paper_id,outcome_metric,ig_n,ig_mean,ig_dispersion,view_link,outcome_index,ig_n_num,ig_mean_num,ig_sd_num,outcome_domain,timepoint,lower_is_better,dispersion_note,efficacy_source,complete_for_smd
,Breath holding during heavy-intensity Fartlek exercise,Grossman2021,VO2 (L/min),10,2.20,0.45,,49,10,2.2,0.45,Physiological,Post-exercise,FALSE,,primary,True
,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse,Taylor2021,NMT,47,281.83,226.50,,50,47,281.83,226.5,performance,during task,TRUE,,additional,True
,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse,Taylor2021,Reaction Time (RT) (ms),47,694.10,266.68,,51,47,694.1,266.68,Performance,During task,TRUE,,primary,True
,The effects of breathing techniques on pressurized performance and stress-responses,Conlon2022,RMSSD,22,67.55,42.19,,54,22,67.55,42.19,physiological,post-intervention,FALSE,,additional,True
,The effects of breathing techniques on pressurized performance and stress-responses,Conlon2022,Shooting Accuracy,23,32.30,20.27,,55,23,32.3,20.27,Performance,Post-intervention (Pressure test),FALSE,,primary,True
,Does Wim Hof Method Improve Breathing Economy during Exercise?,Marko2022,VT,11,1.67,0.25,,56,11,1.67,0.25,physiological,post-test,FALSE,,additional,True
,Does Wim Hof Method Improve Breathing Economy during Exercise?,Marko2022,VE,11,70.68,22.52,,57,11,70.68,22.52,Physiological,Post-test,FALSE,,primary,True
,Single slow-paced Breathing Session at six cycles per minute,You2023,SDNN,75,141.37,45.35,,58,75,141.37,45.35,physiological,post-intervention,FALSE,,additional,True
,Single slow-paced Breathing Session at six cycles per minute,You2023,RMSSD (ms),75,97.62,43.81,,59,75,97.62,43.81,Physiological,Post-intervention,FALSE,,primary,True
,The Impact of Starting Positions and Breathing Rhythms on Cardiopulmonary Stress,Li2024,Average POCR,22,14.3,1.28,,62,22,14.3,1.28,physiological,post-exercise,FALSE,,additional,True
,The Impact of Starting Positions and Breathing Rhythms on Cardiopulmonary Stress,Li2024,Average Heart Rate (bpm),22,94.9,3.80,,63,22,94.9,3.8,Physiological,During exercise,TRUE,,primary,True
,Psychophysiological Effects of Slow-Paced Breathing on Adolescent Swimmers,Merlin2024,Total recovery,7,4.96,1.12,,64,7,4.96,1.12,psychological,post-intervention,FALSE,,additional,True
,Differences between diaphragmatic and abdominal breathing patterns in spirometric,Sikora2024,FEV1,38,5.13,1.01,,66,38,5.13,1.01,physiological,baseline,FALSE,,additional,True
,Differences between diaphragmatic and abdominal breathing patterns in spirometric,Sikora2024,Vital Capacity (VC) (L),38,5.495,1.13,,67,38,5.495,1.13,Physiological,Baseline,FALSE,,primary,True
,Hypoventilation training including maximal end-expiratory breath holding improves,Woorons2024,Sdec,9,20.4,6.5,,68,9,20.4,6.5,performance,post-training,TRUE,,additional,True
,Hypoventilation training including maximal end-expiratory breath holding improves,Woorons2024,MPOmean(5-8) (W),9,266,67,,69,9,266,67,Performance,Post-training 1,FALSE,,primary,True
,The effect of breathing strategy on lifted load during the bench press,Deniz2025,Post-exercise SBP,12,125.00,9.40,,70,12,125,9.4,physiological,post-exercise,TRUE,,additional,True
,The effect of breathing strategy on lifted load during the bench press,Deniz2025,Total Volume Lifted (kg),12,2410.42,395.06,,71,12,2410.42,395.06,Performance,Post-exercise,FALSE,,primary,True
,Effects of Hook Maneuver on Oxygen Saturation Recovery After -40 m Apnea Dive,Fernandez2025,SpO2 at 30s (%),13,92,9,,72,13,92,9,Physiological,30s Post-apnea,FALSE,,primary,True
,The effect of pre-exercise hyperventilation on repeated high-intensity inclined sprint performance,Fesseler2025,Cumulative elevation gain (Sprint 1),36,-12.89,2.78,,73,36,-12.89,2.78,Performance,Post-sprint,FALSE,,primary,True
,Box breathing or six breaths per minute: Which strategy improves athletes post-HIIT cardiovascular recovery?,Kasap2025,Final Heart Rate (bpm),40,164.65,9.40,,75,40,164.65,9.4,Physiological,Post-exercise,TRUE,,primary,True
,Exploring the influence of coherent breathing on psychophysiological stress,Chiron2026,Heart Rate,11,55.97,8.32,,79,11,55.97,8.32,physiological,post-test,TRUE,,additional,True
,Exploring the influence of coherent breathing on psychophysiological stress,Chiron2026,RMSSD (ms),11,72.95,35.22,,80,11,72.95,35.22,Physiological,Post-test,FALSE,,primary,True
,Evaluation of Immediate Changes in Reaction Time Following Bhramari Pranayama,Devipriya2026,Visual Reaction Time (VRT) Right Hand (ms),60,201.35,,,81,60,201.35,,Performance,Post-session,TRUE,No dispersion reported,primary,False
,Slow paced breathing and power posing: a pre-competitive ritual,FernandezBarradas2026,Cognitive anxiety,34,16,,,82,34,16,,Psychological,Post-test,TRUE,No dispersion reported,primary,False
,Fast-paced breathing,Iskra2026,PEP,38,114.46,11.16,,83,38,114.46,11.16,physiological,during intervention,FALSE,,additional,True
,Fast-paced breathing,Iskra2026,RMSSD (ms),38,75.97,28.48,,84,38,75.97,28.48,Physiological,During intervention,FALSE,,primary,True
,Box Breathing vs Cyclic Sighing,Jones2026,HRR3,21,119.9,18.9,,86,21,119.9,18.9,physiological,post-exercise,FALSE,,additional,True
,Box Breathing vs Cyclic Sighing,Jones2026,Heart Rate Recovery 1 min (bpm),21,129.5,12.6,,87,21,129.5,12.6,Physiological,Post-exercise,FALSE,,primary,True
,The acute effect of a diaphragmatic breathing warm-up on maximal deadlift performance,Katz2026,Deadlift 1RM (kg),40,163.6,47.1,,88,40,163.6,47.1,Performance,Post-test,FALSE,,primary,True
