model,estimate,intercept,r_squared,adjusted_r_squared,aic,bic,p_value,rmse_original_count_scale,mae_original_count_scale,best_by_rmse,best_by_aic,best_by_bic
linear,0.2494864048338303,-499.2144410876,0.5293573307085816,0.49798115275582033,73.85253357176089,76.35217360392954,9.320377857571334e-4,1.7801973321288391,1.3238528523191717,FALSE,FALSE,FALSE
exponential,0.08028055628336797,-160.82382276149093,0.5432087385417955,0.5127559877779153,34.35377253263459,36.85341256480324,7.371248170376473e-4,1.776243984665028,1.4194182661154215,TRUE,TRUE,TRUE
