bt_category,n,relative_frequency,label
paced_breathing,15,0.23076923076923078,15 (23.1%)
hypoventilation,14,0.2153846153846154,14 (21.5%)
hyperventilation,12,0.18461538461538463,12 (18.5%)
breath_holding,10,0.15384615384615385,10 (15.4%)
other_unclear,7,0.1076923076923077,7 (10.8%)
pranayama_yogic,4,0.06153846153846154,4 (6.2%)
diaphragmatic,3,0.046153846153846156,3 (4.6%)
