document_id,document_name,paper_id,adverse_events,adherence_rate,dropout_n_total,allocated_n_total,dropout_rate,feasibility_score,view_link,adherence_prop,dropout_prop,dropout_n_ig_num,dropout_n_cg_num,n_allocated_ig_num,n_allocated_cg_num,any_ae_reported,overall_ae_n,overall_ae_total,serious_ae_n,safety_summary,feasibility_source_quote,n_total_num,bt_category
,Fast breathing facilitates reaction time and movement time of a memory-guided force pulse,Taylor2021,,,0,94,0,,,,0,,,47,47,unclear,,,,,,47,paced_breathing
,Effect of Yoga on Performance and Physical Fitness in Cricket Bowlers,Vaidya2021,,,0,0,,,,,,,,,,unclear,,,,,,30,pranayama_yogic
,Effects of a 5-week off-ice repeated-sprint training with voluntary hypoventilation,Brocherie2022,injuries,,0,43,0,,,,0,,,43,,yes,3,43,,Eight out of the 43 subjects were unable to complete the protocol due to injuries (n=3),8 dropouts total.,43,hypoventilation
,The effects of breathing techniques on pressurized performance and stress-responses,Conlon2022,,,3,67,0.0447761194029851,,,,0.0447761194029851,1,2,23,44,unclear,,,,,,67,diaphragmatic
,Does Wim Hof Method Improve Breathing Economy during Exercise?,Marko2022,,,0,23,0,,,,0,,,23,,unclear,,,,,,23,other_unclear
,Single slow-paced Breathing Session at six cycles per minute,You2023,,,0,156,0,3 dropouts total.,,,0,,,78,78,unclear,,,,,,78,paced_breathing
,Effects of a 6-Week Repeated-Sprint Training With Voluntary Hypoventilation,Braham2024,,,0,0,,,,,,,,,,unclear,,,,,,16,hypoventilation
,The Effects of Slow Breathing during Inter-Set Recovery on Power Performance in the Barbell Back Squat,Buxton2024,,,0,36,0,,,,0,,,18,18,unclear,,,,,,18,paced_breathing
,The Impact of Starting Positions and Breathing Rhythms on Cardiopulmonary Stress,Li2024,respiratory-related illnesses,,0,60,0,8 dropouts total.,,,0,,,30,30,yes,1,30,,Lost Follow up (n=5)... Get respiratory-related illnesses: n=1,Participants Exclusion (n=3) Have musculoskeletal injury... Lost Follow up (n=5),30,paced_breathing
,Psychophysiological Effects of Slow-Paced Breathing on Adolescent Swimmers,Merlin2024,,,0,13,0,,,,0,,,7,6,unclear,,,,,,13,paced_breathing
,VHL during arm cycle ergometer,Rosa2024,,,0,28,0,,,,0,,,14,14,unclear,,,,,,14,hypoventilation
,Differences between diaphragmatic and abdominal breathing patterns in spirometric,Sikora2024,,,0,60,0,,,,0,,,38,22,unclear,,,,,,69,diaphragmatic
,Hypoventilation training including maximal end-expiratory breath holding improves,Woorons2024,,,3,20,0.15,,,,0.15,1,2,10,10,unclear,,,,,,20,hypoventilation
,The effect of breathing strategy on lifted load during the bench press,Deniz2025,,,0,24,0,,,,0,,,12,12,unclear,,,,,,12,other_unclear
,Effects of Hook Maneuver on Oxygen Saturation Recovery After -40 m Apnea Dive,Fernandez2025,pulmonary edema,,0,26,0,,,,0,,,13,13,yes,5,14,1,One participant was eliminated... he had developed severe pulmonary edema... Four participants showed signs of mild pulmonary edema,,13,other_unclear
,The effect of pre-exercise hyperventilation on repeated high-intensity inclined sprint performance,Fesseler2025,,,0,72,0,,,,0,,,36,36,unclear,,,,,,36,hyperventilation
,Wim Hof Method,Fox2025,medical condition,,0,404,0,Total attrition 152. Daily intervention compliance 64.71%.,,,0,,,273,131,yes,1,556,,"Attrition was due to a medical condition (1), travel, and conflicting time commitments.","A total of 556 participants enrolled in the study, with a final sample size of 404 participants",404,other_unclear
,Box breathing or six breaths per minute: Which strategy improves athletes post-HIIT cardiovascular recovery?,Kasap2025,,,0,80,0,,,,0,,,40,40,unclear,,,,,,40,paced_breathing
,Apnea or normal breathing on physiological responses during HIIT,Liapaki2025,,,0,30,0,,,,0,,,15,15,unclear,,,,,,15,breath_holding
,Additional Benefits of Repeated-Sprint Training With Prolonged End-Expiratory Breath Holding,Lorinczi2025,,,0,0,,,,,,,,,,unclear,,,,,,20,breath_holding
,Evaluating bioenergetic pathway contributions,Yilmaz2025,,,0,24,0,,,,0,,,12,12,unclear,,,,,,12,hyperventilation
,Exploring the influence of coherent breathing on psychophysiological stress,Chiron2026,,,0,22,0,,,,0,,,11,11,unclear,,,,,,22,paced_breathing
,Evaluation of Immediate Changes in Reaction Time Following Bhramari Pranayama,Devipriya2026,,,0,120,0,,,,0,,,60,60,unclear,,,,,,60,pranayama_yogic
,Slow paced breathing and power posing: a pre-competitive ritual,FernandezBarradas2026,,,0,34,0,,,,0,,,34,,unclear,,,,,,34,paced_breathing
,Fast-paced breathing,Iskra2026,,,0,116,0,20 dropouts/exclusions total.,,,0,,,58,58,unclear,,,,,Three participants were excluded from the main analysis due to technical issues... An additional 17 participants were excluded... yielding 38 final datasets.,58,paced_breathing
,Effects of underwater breath-holding training on athletes' lung capacity,Jing2026,,,0,0,,,,,,,,,,unclear,,,,,,20,breath_holding
,Box Breathing vs Cyclic Sighing,Jones2026,,,0,62,0,15 participants excluded due to technical issues.,,,0,,,42,20,unclear,,,,,"Of these, 10 participants were excluded due to technical issues with the connectivity... An additional five participants were removed during data screening... final analyzed sample comprised 62 participants",77,paced_breathing
,The acute effect of a diaphragmatic breathing warm-up on maximal deadlift performance,Katz2026,,,0,80,0,,,,0,,,40,40,unclear,,,,,,40,diaphragmatic
,No Evidence for the Efficacy of Slow-Paced Breathing as a Recovery Strategy After Sprint Interval Training,Raidl2026,,,0,0,,,,,,,,,,unclear,,,,,,20,paced_breathing
,Focused Attention Meditation as a Pre-Exercise Strategy,Tomita2026,,,0,52,0,All completed without adverse events.,,,0,0,0,26,26,no,0,26,0,All 26 participants completed the intervention and HIIT protocols without adverse events.,All 26 participants completed the intervention and HIIT protocols without adverse events.,26,other_unclear
