publication_year,n_publications,label
2004,2,2
2005,1,1
2014,2,2
2015,2,2
2017,1,1
2018,1,1
2019,1,1
2021,3,3
2022,1,1
2023,1,1
2024,5,5
2025,6,6
2026,7,7
