model,estimate,intercept,r_squared,adjusted_r_squared,aic,bic,p_value,rmse_original_count_scale,mae_original_count_scale,best_by_rmse,best_by_aic,best_by_bic
linear,0.15829211142932206,-316.88284300964665,0.27815492413013654,0.2125326445056036,56.981054379219906,58.675902451604514,0.06399580578672522,1.7192209473165412,1.42755292091402,TRUE,FALSE,FALSE
exponential,0.045964955050460776,-92.09796188289788,0.18788612870288685,0.11405759494860379,31.462658080962118,33.15750615334673,0.13895760904010857,1.8208262741413799,1.3914593971164906,FALSE,TRUE,TRUE
