design_group,n,relative_frequency,label
other_or_unclear,23,0.696969696969697,23 (69.7%)
parallel_or_controlled_trial,8,0.24242424242424243,8 (69.7%)
single_group_or_observational,2,0.06060606060606061,2 (69.7%)
