paper_id,document_name,outcome_index,outcome_metric,ig_n_num,ig_mean_num,ig_sd_num,cg_n_num,cg_mean_num,cg_sd_num,effect_estimate,bt_classification,bt_category,outcome_lower,direction_multiplier,analysis_cluster,complete_for_smd,yi,vi,hedges_g_raw,variance_raw,hedges_g_normalized,variance_normalized,dispersion_assumption
You2023,,25,Heart Rate,75,68.46000000000001,10.450000000000001,75,65.61999999999999,10.450000000000001,,Paced Breathing,paced_breathing,heart rate,-1,paced_breathing_reaction,TRUE,0.2703904004099223,0.0269166165014342,0.2703904004099223,0.0269166165014342,-0.2703904004099223,0.0269166165014342,IG_Dispersion and CG_Dispersion treated as SD
Braham2024,,26,Sprints Completed,8,22.6,0.9,8,19.5,1.7,,Hypoventilation,hypoventilation,sprints completed,1,hypoventilation_rsa,TRUE,2.154467018083884,0.4392184795016063,2.154467018083884,0.4392184795016063,2.154467018083884,0.4392184795016063,IG_Dispersion and CG_Dispersion treated as SD
Li2024,,27,Overall Repetitions,22,76.4,2.11,22,56.9,1.42,,Paced Breathing,paced_breathing,overall repetitions,1,,TRUE,10.647979991680655,1.4991858987221338,10.647979991680655,1.4991858987221338,10.647979991680655,1.4991858987221338,IG_Dispersion and CG_Dispersion treated as SD
Li2024,,28,Maximum PHR,22,157,3.4099999999999997,22,157,5.78,,Paced Breathing,paced_breathing,maximum phr,1,,TRUE,0,0.09090909090909091,0,0.09090909090909091,0,0.09090909090909091,IG_Dispersion and CG_Dispersion treated as SD
Merlin2024,,29,General Recovery,7,5.17,1.01,6,4.78,1.54,,Paced Breathing,paced_breathing,general recovery,1,,TRUE,0.2836920689938055,0.31386447691245706,0.2836920689938055,0.31386447691245706,0.2836920689938055,0.31386447691245706,IG_Dispersion and CG_Dispersion treated as SD
Merlin2024,,30,Subjective Training Performance,7,11,1.41,6,10.4,1.52,,Paced Breathing,paced_breathing,subjective training performance,1,,TRUE,0.3819066124217813,0.317390217654519,0.3819066124217813,0.317390217654519,0.3819066124217813,0.317390217654519,IG_Dispersion and CG_Dispersion treated as SD
Sikora2024,,31,Vital Capacity,38,5.49,1.1300000000000001,22,4.05,0.9500000000000001,,Other,other_unclear,vital capacity,1,,TRUE,1.3303730513215684,0.08750177619651295,1.3303730513215684,0.08750177619651295,1.3303730513215684,0.08750177619651295,IG_Dispersion and CG_Dispersion treated as SD
Sikora2024,,32,Forced Vital Capacity,38,6.18,1.1800000000000002,22,4.85,0.9500000000000001,,Other,other_unclear,forced vital capacity,1,,TRUE,1.1909080326318657,0.08437635761334933,1.1909080326318657,0.08437635761334933,1.1909080326318657,0.08437635761334933,IG_Dispersion and CG_Dispersion treated as SD
Woorons2024,,33,Sdec,10,20.4,6.5,10,24.4,4.2,,Hypoventilation,hypoventilation,sdec,1,,TRUE,-0.7000080353297071,0.2150664433073479,-0.7000080353297071,0.2150664433073479,-0.7000080353297071,0.2150664433073479,IG_Dispersion and CG_Dispersion treated as SD
Woorons2024,,34,RPE,10,8.5,0.4,10,9,0.6,,Hypoventilation,hypoventilation,rpe,-1,,TRUE,-0.9390495804839148,0.22711325990616182,-0.9390495804839148,0.22711325990616182,0.9390495804839148,0.22711325990616182,IG_Dispersion and CG_Dispersion treated as SD
