paper_id,publication_year,study_design,sport_discipline,athlete_level,n_total,age_mean,age_sd,sex_ratio_male_pct,bt_classification,dose_frequency,dose_duration_days,comparator_type,outcome_metric,ig_n,ig_mean,ig_dispersion,cg_n,cg_mean,cg_dispersion,effect_estimate,adverse_events,adherence_rate_pct,dropout_rate_pct,feasibility_score,source_row,source_row_text,paper_id_original,paper_id_repaired,publication_year_num,n_total_num,age_mean_num,age_sd_num,sex_ratio_prop,dose_frequency_week,dose_duration_days_num,ig_n_num,ig_mean_num,ig_sd_num,cg_n_num,cg_mean_num,cg_sd_num,adherence_prop,dropout_prop,bt_category,design_group,outcome_index
Kasap2025,2025,Experimental - Other,Cycling,Recreational,40,20.95,1.75,62.5,Paced Breathing,1,1,Crossover baseline,Final Heart Rate,40,164.65,9.4,40,159.05,10.38,,,,,,42,Kasap2025 2025 Experimental - Other Cycling Recreational 40 20.95 1.75 62.5 Paced Breathing 1 1 Crossover baseline Final Heart Rate 40 164.65 9.4 40 159.05 10.38 NA NA NA NA NA 42,Kasap2025,FALSE,2025,40,20.95,1.75,0.625,1,1,40,164.65,9.4,40,159.05,10.38,,,paced_breathing,other_or_unclear,42
Kasap2025,2025,Experimental - Other,Cycling,Recreational,40,20.95,1.75,62.5,Paced Breathing,1,1,Crossover baseline,Perceived Exertion Borg,40,17.27,1.3,40,15.25,1.35,,,,,,43,Kasap2025 2025 Experimental - Other Cycling Recreational 40 20.95 1.75 62.5 Paced Breathing 1 1 Crossover baseline Perceived Exertion Borg 40 17.27 1.3 40 15.25 1.35 NA NA NA NA NA 43,Kasap2025,FALSE,2025,40,20.95,1.75,0.625,1,1,40,17.27,1.3,40,15.25,1.35,,,paced_breathing,other_or_unclear,43
Yilmaz2025,2025,Experimental - Other,Team sports,Competitive,17,22.6,1.9,100.0,Hyperventilation,1,1,Crossover baseline,Relative Peak Power,17,12.7,1.55,17,11.9,1.05,,,,,,44,Yilmaz2025 2025 Experimental - Other Team sports Competitive 17 22.6 1.9 100.0 Hyperventilation 1 1 Crossover baseline Relative Peak Power 17 12.7 1.55 17 11.9 1.05 NA NA NA NA NA 44,Yilmaz2025,FALSE,2025,17,22.6,1.9,1,1,1,17,12.7,1.55,17,11.9,1.05,,,hyperventilation,other_or_unclear,44
Yilmaz2025,2025,Experimental - Other,Team sports,Competitive,17,22.6,1.9,100.0,Hyperventilation,1,1,Crossover baseline,Relative Mean Power,17,9.0,0.65,17,8.6,0.67,,,,,,45,Yilmaz2025 2025 Experimental - Other Team sports Competitive 17 22.6 1.9 100.0 Hyperventilation 1 1 Crossover baseline Relative Mean Power 17 9.0 0.65 17 8.6 0.67 NA NA NA NA NA 45,Yilmaz2025,FALSE,2025,17,22.6,1.9,1,1,1,17,9,0.65,17,8.6,0.6699999999999999,,,hyperventilation,other_or_unclear,45
Yilmaz2025,2025,Experimental - Other,Team sports,Competitive,17,22.6,1.9,100.0,Hyperventilation,1,1,Crossover baseline,ATP-PCr Pct,17,38.9,5.5,17,38.3,4.2,,,,,,46,Yilmaz2025 2025 Experimental - Other Team sports Competitive 17 22.6 1.9 100.0 Hyperventilation 1 1 Crossover baseline ATP-PCr Pct 17 38.9 5.5 17 38.3 4.2 NA NA NA NA NA 46,Yilmaz2025,FALSE,2025,17,22.6,1.9,1,1,1,17,38.9,5.5,17,38.3,4.2,,,hyperventilation,other_or_unclear,46
Chiron2026,2026,Experimental - RCT,Track and Field,Elite,22,22.3,3.0,68.18,Paced Breathing,3,8,Passive control,400m Performance Time,11,54.42,6.65,11,55.57,4.34,,,,,,47,Chiron2026 2026 Experimental - RCT Track and Field Elite 22 22.3 3.0 68.18 Paced Breathing 3 8 Passive control 400m Performance Time 11 54.42 6.65 11 55.57 4.34 NA NA NA NA NA 47,Chiron2026,FALSE,2026,22,22.3,3,0.6818,3,8,11,54.42,6.6499999999999995,11,55.57,4.34,,,paced_breathing,parallel_or_controlled_trial,47
Chiron2026,2026,Experimental - RCT,Track and Field,Elite,22,22.3,3.0,68.18,Paced Breathing,3,8,Passive control,Morning Cortisol D6,11,0.332,0.135,11,0.249,0.122,,,,,,48,Chiron2026 2026 Experimental - RCT Track and Field Elite 22 22.3 3.0 68.18 Paced Breathing 3 8 Passive control Morning Cortisol D6 11 0.332 0.135 11 0.249 0.122 NA NA NA NA NA 48,Chiron2026,FALSE,2026,22,22.3,3,0.6818,3,8,11,0.33199999999999996,0.135,11,0.24900000000000003,0.12200000000000001,,,paced_breathing,parallel_or_controlled_trial,48
Devipriya2026,2026,Experimental - Before-After,None,Recreational,60,21.35,1.79,50.0,Yoga/Pranayama,1,1,None,Auditory Reaction Time Right Hand,60,168.73,16.28,60,186.42,18.35,,,,,,49,Devipriya2026 2026 Experimental - Before-After None Recreational 60 21.35 1.79 50.0 Yoga/Pranayama 1 1 None Auditory Reaction Time Right Hand 60 168.73 16.28 60 186.42 18.35 NA NA NA NA NA 49,Devipriya2026,FALSE,2026,60,21.35,1.79,0.5,1,1,60,168.73,16.279999999999998,60,186.42000000000002,18.35,,,pranayama_yogic,other_or_unclear,49
FernandezBarradas2026,2026,Experimental - Before-After,American Football,Competitive,34,16.97,0.8,100.0,Paced Breathing,2,63,None,Cognitive Anxiety,34,12.76,3.27,34,14.82,4.97,,,,,,50,FernandezBarradas2026 2026 Experimental - Before-After American Football Competitive 34 16.97 0.8 100.0 Paced Breathing 2 63 None Cognitive Anxiety 34 12.76 3.27 34 14.82 4.97 NA NA NA NA NA 50,FernandezBarradas2026,FALSE,2026,34,16.97,0.8,1,2,63,34,12.76,3.27,34,14.82,4.970000000000001,,,paced_breathing,other_or_unclear,50
FernandezBarradas2026,2026,Experimental - Before-After,American Football,Competitive,34,16.97,0.8,100.0,Paced Breathing,2,63,None,Somatic Anxiety,34,11.76,5.46,34,12.85,4.99,,,,,,51,FernandezBarradas2026 2026 Experimental - Before-After American Football Competitive 34 16.97 0.8 100.0 Paced Breathing 2 63 None Somatic Anxiety 34 11.76 5.46 34 12.85 4.99 NA NA NA NA NA 51,FernandezBarradas2026,FALSE,2026,34,16.97,0.8,1,2,63,34,11.76,5.46,34,12.850000000000001,4.99,,,paced_breathing,other_or_unclear,51
Iskra2026,2026,Experimental - Other,None,Recreational,38,23.0,2.4,39.65,Paced Breathing,1,1,Crossover baseline,RMSSD,38,24.24,8.28,38,39.39,18.55,,,,,,52,Iskra2026 2026 Experimental - Other None Recreational 38 23.0 2.4 39.65 Paced Breathing 1 1 Crossover baseline RMSSD 38 24.24 8.28 38 39.39 18.55 NA NA NA NA NA 52,Iskra2026,FALSE,2026,38,23,2.4,0.39649999999999996,1,1,38,24.24,8.28,38,39.39,18.55,,,paced_breathing,other_or_unclear,52
Iskra2026,2026,Experimental - Other,None,Recreational,38,23.0,2.4,39.65,Paced Breathing,1,1,Crossover baseline,PEP,38,114.26,10.25,,,,,,,,,53,Iskra2026 2026 Experimental - Other None Recreational 38 23.0 2.4 39.65 Paced Breathing 1 1 Crossover baseline PEP 38 114.26 10.25 NA NA NA NA NA NA NA NA 53,Iskra2026,FALSE,2026,38,23,2.4,0.39649999999999996,1,1,38,114.26,10.25,,,,,,paced_breathing,other_or_unclear,53
,,,,,,,,,,,,,,,,,,,,,,,,,54,NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 54,,FALSE,,,,,,,,,,,,,,,,other_unclear,unclear,54
Iskra2026,2026,Experimental - Other,None,Recreational,38,23.0,2.4,39.65,Paced Breathing,1,1,Crossover baseline,Breathing Discomfort,38,5.09,2.96,,,,,,,,,55,Iskra2026 2026 Experimental - Other None Recreational 38 23.0 2.4 39.65 Paced Breathing 1 1 Crossover baseline Breathing Discomfort 38 5.09 2.96 NA NA NA NA NA NA NA NA 55,Iskra2026,FALSE,2026,38,23,2.4,0.39649999999999996,1,1,38,5.09,2.96,,,,,,paced_breathing,other_or_unclear,55
,,,,,,,,,,,,,,,,,,,,,,,,,56,NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 56,,FALSE,,,,,,,,,,,,,,,,other_unclear,unclear,56
Katz2026,2026,Experimental - Other,Resistance Training,Recreational,40,24.8,6.8,80.0,Other,1,1,Crossover baseline,Deadlift 1RM,40,163.6,47.1,40,160.7,49.6,,,,,,57,Katz2026 2026 Experimental - Other Resistance Training Recreational 40 24.8 6.8 80.0 Other 1 1 Crossover baseline Deadlift 1RM 40 163.6 47.1 40 160.7 49.6 NA NA NA NA NA 57,Katz2026,FALSE,2026,40,24.8,6.8,0.8,1,1,40,163.6,47.1,40,160.7,49.6,,,other_unclear,other_or_unclear,57
Raidl2026,2026,Experimental - Other,None,Recreational,,,,,,Paced Breathing,,,,,,,,,,,,,,,58,Raidl2026 2026 Experimental - Other None Recreational NA NA NA NA NA Paced Breathing NA NA NA NA NA NA NA NA NA NA NA NA NA NA 58,Raidl2026,FALSE,2026,,,,,,,,,,,,,,,other_unclear,other_or_unclear,58
Tomita2026,2026,Experimental - Other,Skating,Competitive,26,19.0,1.8,46.15,Paced Breathing,1,1,Crossover baseline,Delta STAI State,26,-2.0,9.5,26,-2.0,11.0,,,,,,59,Tomita2026 2026 Experimental - Other Skating Competitive 26 19.0 1.8 46.15 Paced Breathing 1 1 Crossover baseline Delta STAI State 26 -2.0 9.5 26 -2.0 11.0 NA NA NA NA NA 59,Tomita2026,FALSE,2026,26,19,1.8,0.46149999999999997,1,1,26,-2,9.5,26,-2,11,,,paced_breathing,other_or_unclear,59
Tomita2026,2026,Experimental - Other,Skating,Competitive,26,19.0,1.8,46.15,Paced Breathing,1,1,Crossover baseline,Mean Power,26,153.3,13.5,26,153.0,14.7,,,,,,60,Tomita2026 2026 Experimental - Other Skating Competitive 26 19.0 1.8 46.15 Paced Breathing 1 1 Crossover baseline Mean Power 26 153.3 13.5 26 153.0 14.7 NA NA NA NA NA 60,Tomita2026,FALSE,2026,26,19,1.8,0.46149999999999997,1,1,26,153.3,13.5,26,153,14.7,,,paced_breathing,other_or_unclear,60
Tomita2026,2026,Experimental - Other,Skating,Competitive,26,19.0,1.8,46.15,Paced Breathing,1,1,Crossover baseline,Fatigue Index,26,86.5,15.2,26,86.8,11.6,,,,,,61,Tomita2026 2026 Experimental - Other Skating Competitive 26 19.0 1.8 46.15 Paced Breathing 1 1 Crossover baseline Fatigue Index 26 86.5 15.2 26 86.8 11.6 NA NA NA NA NA 61,Tomita2026,FALSE,2026,26,19,1.8,0.46149999999999997,1,1,26,86.5,15.2,26,86.8,11.6,,,paced_breathing,other_or_unclear,61
